0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
ferdi,frit,fort,fridd,ferd,fraid,frid,viert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rumme,hrma,rumm,raim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gelä,chlie,ckel,gelo,gäll,chil,chuel,glüe,glaa,gela,cela,geleh,ckle,chel,chli,klich,chlo,klei,glei,ggel,gell,cile,chla,kele,chlaa,chal,glau,chlu,gele,,,,,,,,,,,,,,,,,,,,,,,,,
bick,bicke,buec,beku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sitz,suza,setz,setze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fess,vous,fass,fesso,ffiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versi,fres,vors,v'rs,vers,versu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orst,erstä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eckli,écile,ickle,egel,ückl,écil,egal,ückli,ickel,üeckl,eckl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agne,igun,agen,egen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emen,omme,ehmen,ommi,emme,umme,ehme,emoi,ommen,einmo,ammer,ummer,emoo,amme,imen,eime,inmo,omen,amen,emei,emer,emaa,einm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hwesc,wäsc,wesc,waisc,wäisc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ousin,essen,usine,usin,issen,assen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angt,ängt,enkt,unkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
durc,trac,tric,direk,duric,dirak,treic,druck,druc,trick,tarik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schun,schon,chne,chni,schen,chunn,chon,chan,schn,schni,schnü,schan,chnu,schne,chnie,chun,chnü,chnei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haus,hies,hoss,heiß,hiese,hosse,hais,hüss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marie,maria,mari,mier,meri,mero,meer,möch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anzö,anzig,anzi,inze,anzee,anze,ents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revo,ruff,rhaf,rvie,revoi,raph,hriew,ravo,rowe,hrif,riewe,riew,rüwe,reff,ruef,ruefe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlic,dlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fehlt,feld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danz,tens,diens,htens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huen,heer,hueh,heen,hier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bscht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isell,isel,essel,äsel,oisel,issel,iesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tters,teres,tress,tres,ters,trez,dders,drüs,drüss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erme,urum,erum,ochem,armi,erma,ermä,ermi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bers,burs,prise,präsi,präs,paris,bres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limm,leme,luem,hlim,hlimm,lemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ontr,änder,entre,endar,intr,entr,inder,onder,intre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genda,cand,kind,kinde,chnit,cont,kand,könnt,gend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stall,chtel,stal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waje,weje,wäje,hweje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suec,ssge,soci,socie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmels,mels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bran,brenn,pren,bren,prin,baron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erbe,arbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
örsc,ersc,orsc,ursc,errsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apie,aube,abbé,oppe,apier,abbe,iebe,eibe,appe,apper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renn,rien,hren,rren,reun,rinne,rinn,renne,rein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsch,fesch,fasch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sind,sonde,sond,sant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kummt,kommt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chère,gere,krei,cker,ch'r,kriej,chre,krie,geru,ghör,kiri,chrie,köch,gerü,chor,grüe,gera,ch'r,chur,grie,chèr,chere,cour,geri,cher,köche,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revo,rvie,revoi,hriew,ravo,rowe,rwei,riewe,riew,rüwe,rwäj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdon,rdnu,rtin,rden,rdin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itzt,etzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lüec,leic,lock,lucie,leck,lüeck,lück,hlic,luci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagn,pagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ijer,ehje,iehj,ieje,üeje,üehj,eije,äuje,augu,uehj,ueje,ejer,öije,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chkei,schak,chge,chke,chak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versi,werz,warz,vors,v'rs,wurs,vers,wers,versu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herrs,heres,hochz,hors,herz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poli,paul,ppel,blue,belei,blie,bell,belie,bble,bele,plai,bill,ball,beli,bbel,bille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewun,evun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vieh,ffen,ffer,phie,füeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemo,hamm,heime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nden,nten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auer,euer,eich,auen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
witz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kauf,chäf,gewu,chaf,gewä,gewe,g'fa,gewi,gewa,gewo,gewö,kaufe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ottl,etel,ottlo,etli,ädel,aidle,ittl,ettel,aidel,aidl,ättel,antel,edel,idel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pardo,brued,parti,bert,pard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tich,dscha,tsch,disch,dich,tsche,dsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edie,itte,ueti,ider,eden,ette,aide,itter,edaa,otier,etti,ett',ädde,ente,iejt,idie,adier,idier,idda,uede,odde,atio,eidi,atten,eten,etter,ietä,eider,adie,eute,ätte,edier,eijt,iden,ueder,edder,atier,ueter,adieu,idde,edde,ütte,otie,ett',atie,ied',iten,ient,uete,uten,idder,oote,aant,aint
ffge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otsc,ätsc,eutsc,entsc,itsc,utsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schie,'sch,choe,cheen,schee,schen,chen,schu,sch',schä,chueh,cheh,ssch,chue,chei,scher,chien,sche,schue,chee,cher,hsch,sch',schei,chie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unglü,angel,unkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chung,chenk,gung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schb,schöp,sper,chöp,schp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
männ,main,minn,mmen,muehn,männe,minni,mann,meine,minne,hmen,maan,mini,müen,miner,mani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mbre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ucke,ecke,ucie,ocie,augu,üeck,ücke,icke,egen,icker,agen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rgen,rigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offen,ewen,evun,ewun,anfan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ider,itter,otier,intre,adier,idier,atür,entre,etru,ett'r,ontr,etter,eider,etri,edier,intr,entr,etro,ueder,edder,atier,ueter,etra,ett'r,idder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hnie,nhei,hnen,nnen,nich,neij,hnei,nner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woll,vill,velo,wiel,weil,voll,viele,wille,vell,wwel,wolle,voil,velle,voilà,wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triew,trüwe,druff,treff,trüw,tref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewwer,awwer,evoir,iwwer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vill,fehl,voil,velle,flich,ffel,flie,voilà,falle,'fal,vell,flei,'fall,velo,voll,viele,fäll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ziel,zelle,zell,tzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liewi,lebe,lewäj,llewä,leben,liebe,lawe,lauwe,lauw,lver,lewä,läwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verli,fährl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frec,vorge,verk,vorg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngen,nooc,nigi,nken,ngeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vorge,vorg,verk,werg,werik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helfe,helf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olda,elad,elter,alti,ellt,elade,ulde,alde,elte,olde,eleid,alten,elde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erzi,erzu,erzig,ochz,irts,ochzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hwart,wärt,würd,wurd,wärd,wert,würdi,wirt,viert,ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gscht,gust,gsto,c'est,c'est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heene,huen,hinne,heen,hunn,hinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tich,tier,dhue,hten,'het,dder,dier,tten,thier,tter,dien,dhei,ther,dieu,'hett,'het,'hett,dich,hter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammer,emer,emach,ummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chors,kurz,geris,kreis,groß,große,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
näch,nurr,narre,nooch,nnere,noche,nn'r,noch,nere,nner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chni,genue,köenn,gehn,chnü,köen,kinn,chen,genu,chon,geneh,chun,chien,genn,kann,kaan,kein,gänn,könn,könne,chnei,gene,cheen,chne,chunn,chan,cken,gena,chnu,chnie,,,,,,,,,,,,,,,,,,,,,,,,
gelt,gelte,gold,chelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vieh,wüen,hwej,hwer,wich,wwer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enue,enn',ihnen,ohnu,ehne,eann,üehn,ionä,auen,eene,önnen,uehn,inen,änner,önne,inni,enn',einen,iener,enne,äner,eneh,onie,eini,aine,öenne,inig,enau,onne,anie,inne,ener,aane,anne,inner,enen,iner,öenn,aner,enni,uner,ione,,,,,,,,,,,,
denk,denke,ttung,dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trop,trieb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pper,beer,bier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hren,rier,rren,raue,rhei,rich,rrei,-ere,rhau,reau,reij,riej,reich,hrie,rien,rueh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infe,einfa,infa,anfa,unve,einf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erdr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helt,holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ridde,redd,roote,root,rade,ruede,rdig,redde,runte,rheit,rued,ridd,rter,rden,hrte,rütt,rant,runt,rette,rtie,raid,rett,rote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eleph,eloff,elof,elfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nfan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oran,eran,eren,erein,erne,achen,aron,ieren,erun,erinn,erin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndes,nzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rzue,ritz,rzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ames,emois,emes,amse,umms,ommis,iemes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leijt,litt,lejt,lette,lder,lten,luet,lott,lett,leidi,latt,liet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeru,zier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saasc,sesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluet,bild,pelt,belt,bilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mehl,mmel,milli,möjl,mili,müll,mille,mele,möjli,mill,mlich,meli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsch,besch,bisch,basch,busch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ervi,ervie,erve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sbli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wette,weite,witt,weit,vent,widde,witte,wett,widd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aubt,iebt,aupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ament,oment,ummt,ommt,ement,iment,ammt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paar,pari,bare,pper,pour,beru,burri,büür,büch,berr,bren,beer,baro,para,bier,perr,brei,brue,pren,biere,burr,buech,prie,bere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warm,wurum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ntsc,ndsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
säuje,sawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schr,chur,chère,chèr,chere,chrie,chor,ch'r,scher,chre,schor,ch'r,sch'r,schur,sch'r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsin,g'sin,gsun,g'sin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrli,rlie,rall,roll,rlich,rlau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ährli,ehrli,erla,erlau,erlä,erli,ierl,erall,eral,erle,ährl,erlie,ehrl,ierli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apier,ebro,aber,eber,apper,über,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g'fal,gfall,gfal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell,tlich,teil,ddel,ttlo,dlich,ttel,tall,dele,htel,tille,tler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tent,dide,täte,däte,deut,taat,tadt,dheit,date,dient,dhät,thät,tout,duet,dent,teht,dant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chwer,chwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
griff,chrif,grif,graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riend,runt,runte,rennt,rand,rund,reund,rant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loch,liere,lere,ller,leer,läch,lier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ment,mand,mante,mond,maant,mant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frän,frien,freun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
